name,id
CHAT,622
RCC1,623
CHD1,624
CHD2,625
CHD3,626
CHD4,627
CHEK1,628
FOXN3,629
CHGA,630
CHI3L2,631
CHM,632
CHML,633
CHN1,634
CHRM1,635
CHRM2,636
LYST,637
CHRM3,638
CHRNA5,639
CHRNA7,640
CHRNB1,641
CHRNB2,642
CHRNB4,643
CHRNE,644
CHUK,645
CIDEA,646
CKB,647
CIRBP,648
CISH,649
TBCB,650
ERCC8,651
CKS1B,652
CKS2,653
AP2M1,654
AP1S1,655
CLCN2,656
CLCN3,657
CLCN5,658
CLCN6,659
CLCN7,660
CLU,661
CLIC1,662
CLIC2,663
CLK1,664
TPP1,665
CLN3,666
CLNS1A,667
CLPTM1,668
CLTA,669
CLTB,670
CLTC,671
CCR1,672
CCR4,673
CCR5,674
CCR6,675
CCR7,676
CMKLR1,677
ABCC2,678
CNGB1,679
CNGA3,680
PLK3,681
CNN2,682
CNN3,683
CNP,684
CNR1,685
CNR2,686
CNTF,687
CNTFR,688
COL1A1,689
COL1A2,690
COL2A1,691
COL3A1,692
COL4A1,693
COL4A2,694
COL4A3,695
COL4A4,696
COL4A5,697
COL4A6,698
COL5A1,699
COL5A2,700
COL6A1,701
COL6A2,702
COL7A1,703
COL8A1,704
COL8A2,705
COL9A1,706
COL9A2,707
COL9A3,708
COL10A1,709
COL11A1,710
COL12A1,711
COL13A1,712
COL15A1,713
COL19A1,714
COMT,715
COPA,716
KLF6,717
SLC31A1,718
MAP3K8,719
COX5B,720
COX6A1,721
COX6B1,722
COX6C,723
COX7A2,724
COX7B,725
COX7C,726
COX8A,727
COX10,728
COX15,729
CPA1,730
CPA3,731
CPB2,732
CPD,733
CPE,734
CLDN4,735
CLDN7,736
CPM,737
CPN2,738
CPOX,739
CPS1,740
CPT1A,741
CPT1B,742
CPT2,743
CR1,744
CR2,745
CRABP1,746
CRABP2,747
CRAT,748
CREB1,749
ATF2,750
CREBBP,751
ATF6B,752
CREBL2,753
CREM,754
CRH,755
CRHR2,756
CRIP2,757
CRK,758
CRKL,759
CRMP1,760
CRP,761
HAPLN1,762
CRX,763
CRY1,764
CRY2,765
CRYAA,766
CRYBA1,767
CRYGC,768
CRYGS,769
CRYZ,770
CS,771
MAPK14,772
CSE1L,773
CSF1,774
CSF1R,775
CSK,776
CSN3,777
CSNK1A1,778
CSNK1D,779
CSNK1E,780
CSNK1G2,781
CSNK1G3,782
CSNK2A1,783
CSNK2A2,784
VCAN,785
NCAN,786
CSRP1,787
CSRP2,788
SLC25A10,789
CST1,790
CST2,791
CST3,792
CST4,793
CST6,794
CSTB,795
CSTF2,796
CSTF3,797
NKX2-5,798
CTBS,799
CTBP1,800
CTBP2,801
CTGF,802
CTH,803
CTLA4,804
CTNNA1,805
CTNS,806
CTNNB1,807
CTNND1,808
CTPS1,809
CTRB1,810
CTSB,811
CTSD,812
CTSE,813
CTSK,814
CTSL,815
CTSV,816
CTSS,817
CTSW,818
CTSZ,819
CUX1,820
CX3CR1,821
CXADR,822
CYB5A,823
CYB561,824
CYBA,825
CYBB,826
CYC1,827
CYLD,828
CYP1A1,829
CYP1A2,830
CYP1B1,831
CYP2A7,832
CYP2B6,833
CYP2C19,834
CYP2C8,835
CYP2C9,836
CYP2D7,837
CYP2D6,838
CYP2E1,839
CYP2F1,840
CYP2J2,841
CYP3A4,842
CYP3A5,843
CYP4A11,844
CYP7A1,845
CYP8B1,846
CYP11A1,847
CYP11B2,848
CYP19A1,849
CYP21A2,850
CYP21A1P,851
CYP24A1,852
CYP26A1,853
CYP27B1,854
CYP51A1,855
DAB2,856
DACH1,857
DAD1,858
CD55,859
DAG1,860
DGKA,861
DGKB,862
DGKG,863
DAO,864
DAP,865
DAPK1,866
DAPK3,867
DARS,868
DAXX,869
DAZL,870
DBH,871
DBN1,872
DBT,873
DCC,874
ECI1,875
DCK,876
DCTD,877
ACE,878
DCTN1,879
DCX,880
DDB1,881
DDB2,882
DDC,883
AKR1C2,884
GADD45A,885
DDIT3,886
DDOST,887
DDT,888
DDX1,889
DDX3X,890
DDX5,891
DDX6,892
DMXL1,893
DHX9,894
DDX10,895
DDX11,896
DHX15,897
DECR1,898
DEFA1,899
DEFA3,900
DEFA4,901
DEFB4A,902
DFFA,903
DFFB,904
TIMM8A,905
DFNA5,906
COCH,907
DGUOK,908
DHCR7,909
DHCR24,910
DHFR,911
DHODH,912
DHPS,913
CYB5R3,914
DIAPH1,915
DIAPH2,916
SEPT1,917
DIO1,918
DIO2,919
DKC1,920
DLAT,921
DLD,922
DLG1,923
DLG2,924
DLG3,925
DLG4,926
DLST,927
DLX1,928
DLX2,929
DLX3,930
DLX4,931
DLX5,932
DLX6,933
DMD,934
DNM1,935
DMPK,936
DMWD,937
DNA2,938
DNAH8,939
DNAH9,940
DNASE1L1,941
DNASE1L3,942
DNASE2,943
DYNC1H1,944
DYNC1I1,945
DYNC1I2,946
DNM2,947
DNMT1,948
TRDMT1,949
DNMT3A,950
DNMT3B,951
DOCK1,952
DOCK3,953
DXO,954
DPAGT1,955
DPH1,956
DPP6,957
DPT,958
DPYD,959
DPYSL2,960
DPYSL3,961
DR1,962
SLC26A3,963
DRD1,964
DRD3,965
DRD5,966
DRG2,967
ARID3A,968
DRP2,969
ATN1,970
DSC1,971
DSC2,972
DSC3,973
RCAN1,974
DSG1,975
DSG2,976
DSG3,977
TSC22D3,978
DSP,979
DSPP,980
SLC26A2,981
DTNB,982
HBEGF,983
DTX1,984
DTYMK,985
DUSP1,986
DUSP2,987
DUSP3,988
DUSP4,989
DUSP5,990
DUSP6,991
DUSP7,992
DUSP8,993
DUSP9,994
DUT,995
DVL1,996
DVL2,997
DVL3,998
DYRK1A,999
TOR1A,1000
E2F1,1001
E2F2,1002
E2F3,1003
E2F4,1004
E2F5,1005
E2F6,1006
E4F1,1007
EBF1,1008
GPR183,1009
ECE1,1010
ECH1,1011
ECHS1,1012
ECT2,1013
S1PR1,1014
LPAR1,1015
S1PR3,1016
EDN1,1017
EDN2,1018
EDN3,1019
EDNRA,1020
PHC1,1021
PHC2,1022
EEF1A1,1023
EEF1A2,1024
EEF1B2,1025
EEF1D,1026
EEF2,1027
EFNA1,1028
EFNA2,1029
EFNA3,1030
EFNA4,1031
EFNA5,1032
EFNB1,1033
EFNB2,1034
EFNB3,1035
EGF,1036
CELSR3,1037
CELSR2,1038
MEGF8,1039
MEGF9,1040
EGFR,1041
EGR1,1042
EGR2,1043
EGR3,1044
EHHADH,1045
EIF1AX,1046
EIF2S1,1047
EIF2B1,1048
EIF2S3,1049
EPHA2,1050
EIF4A1,1051
EIF4A2,1052
EIF4B,1053
EIF4E,1054
EIF4EBP1,1055
EIF4EBP2,1056
EIF4G1,1057
EIF4G2,1058
EIF5,1059
EIF5A,1060
SERPINB1,1061
ELAVL2,1062
ELAVL1,1063
ELAVL3,1064
ELAVL4,1065
ELF2,1066
ELF3,1067
ELF4,1068
ELF5,1069
ELK1,1070
ELK3,1071
ELK4,1072
ELN,1073
EML1,1074
EMD,1075
MARK2,1076
EMP1,1077
EMP2,1078
EMP3,1079
ADGRE1,1080
EMX1,1081
CTTN,1082
EMX2,1083
EN1,1084
EN2,1085
ENDOG,1086
ENG,1087
ENO1,1088
ENO2,1089
ENSA,1090
SLC29A1,1091
EP300,1092
EPAS1,1093
EPB41,1094
EPB41L1,1095
EPB42,1096
DMTN,1097
STOM,1098
EPHA1,1099
EPHA4,1100
EPHA5,1101
EPHA7,1102
EPHB1,1103
EPHB2,1104
EPHB3,1105
EPHB4,1106
EPHX1,1107
EPHX2,1108
STX2,1109
CLN8,1110
EPOR,1111
EPRS,1112
EPS8,1113
EPS15,1114
NR2F6,1115
ERBB2,1116
ERBB3,1117
ERBB4,1118
ERCC1,1119
ERCC2,1120
EREG,1121
EYA4,1122
ERCC3,1123
ERCC4,1124
ERCC6,1125
ERF,1126
ERG,1127
ERH,1128
ERN1,1129
FBL,1130
ESD,1131
ESR1,1132
ESR2,1133
ESRRA,1134
ESRRB,1135
ESRRG,1136
ETF1,1137
ETFA,1138
ETFDH,1139
ETS1,1140
ETS2,1141
ETV1,1142
ETV3,1143
ETV4,1144
ETV5,1145
ETV6,1146
EVC,1147
MECOM,1148
EVI2A,1149
EVI2B,1150
EVX1,1151
EWSR1,1152
EXT1,1153
EXT2,1154
EXTL2,1155
EXTL3,1156
EYA1,1157
EYA2,1158
EYA3,1159
EZH1,1160
EZH2,1161
F2,1162
F2R,1163
F2RL1,1164
F2RL2,1165
F3,1166
F5,1167
F9,1168
F10,1169
